,name,ratting,reviews,salaries,company_details
986,Visionet Systems,3.2,786,5.6k,IT Services & Consulting | Cranbury +15 other locations
987,Aspire Systems,3.9,786,8.7k,IT Services & Consulting | Oak Brook +19 other locations
988,Hathway,3.5,785,3.7k,Broadcasting | Mumbai +51 other locations
989,Hikal,3.9,785,4.2k,Pharma | Mumbai +20 other locations
990,AstraZeneca,4.1,782,6.3k,Pharma | Cambridge +44 other locations
991,Citco,3.1,782,6.2k,Management Consulting | Cayman Islands +11 other locations
992,Sundaram Clayton,4.1,782,2.9k,Auto Components | Chennai +24 other locations
993,Punj Lloyd,4.4,781,1.9k,Engineering & Construction | Gurgaon/Gurugram +70 other locations
994,Lemon Tree Hotels,4.2,780,2.7k,Hospitality | Delhi/NCR +67 other locations
995,HFCL,4.1,780,3.6k,Telecom | Delhi/NCR +98 other locations
996,Test Yantra Software Solutions,3.2,780,20.9k,IT Services & Consulting | Bangalore/Bengaluru +16 other locations
997,MAHLE ANAND Filter Systems,4.0,780,3.2k,Auto Components | Stuttgart +27 other locations
998,Indira IVF Hospital,3.9,779,2.5k,Mumbai +88 other locations
999,Apex Group,2.7,778,5.4k,Financial Services | Hamilton +23 other locations
1000,United Alliance Technology,4.9,777,34,IT Services & Consulting | Bangalore / Bengaluru +9 other locations
1001,Sri Chaitanya Techno Schools,3.7,777,3k,Education & Training | Hyderabad/Secunderabad +122 other locations
1002,Innova Solutions,3.5,777,6.4k,IT Services & Consulting | Atlanta +27 other locations
1003,Willis Towers Watson,3.8,777,6.6k,Management Consulting | London +15 other locations
1004,City Union Bank,3.3,777,4.6k,Banking | Thanjavur +130 other locations
1005,Baroda Global Shared Services,4.0,776,2.5k,Banking | Mumbai +117 other locations
1006,Allianz Technology,4.2,776,6.4k,IT Services & Consulting | Munich +13 other locations
1007,Meril,3.8,776,3.8k,Vapi +64 other locations
1008,Astral Pipe,4.1,775,3.2k,Building Material | Haldwani +104 other locations
1009,Volkswagen,4.2,776,3.2k,Automobile | Mumbai +96 other locations
1010,Amara Raja Group,4.2,775,3.5k,Auto Components | Bangalore/Bengaluru +59 other locations
1011,Pernod Ricard,3.7,772,4k,Beverage | Paris +101 other locations
1012,INDO-MIM,4.2,769,3.8k,Bangalore/Bengaluru +22 other locations
1013,Perfetti Van Melle,4.2,770,2.6k,Food Processing | Lainate +129 other locations
1014,London Stock Exchange Group,4.1,768,8.3k,Financial Services | London +9 other locations
1015,Troikaa Pharmaceuticals,3.6,767,3.3k,Ahmedabad +75 other locations
1016,Temenos,3.3,767,8.6k,Software Product | Geneva +8 other locations
1017,SK Finance Limited,4.3,765,2.4k,NBFC | Jaipur +192 other locations
1018,Leadec India,4.1,764,3.2k,Facility Management Services | Stuttgart +60 other locations
1019,Pricol,4.0,764,4.1k,Auto Components | Coimbatore +27 other locations
1020,Air India Sats Airport Services,3.7,765,2.2k,Aviation | Mumbai +35 other locations
1021,Federal Bank,3.8,764,4.6k,Banking | Aluva +124 other locations
1022,Mahindra First Choice Wheels,3.8,761,3.3k,Internet | Mumbai +110 other locations
1023,Ford Business Solutions,4.4,760,3.5k,IT Services & Consulting | Dearborn +43 other locations
1024,ValueMomentum,3.3,759,7.9k,IT Services & Consulting | New Jersey +10 other locations
1025,Next Education India,3.7,759,3k,EdTech | Hyderabad/Secunderabad +83 other locations
1026,Apotex Research,4.1,758,2.7k,Pharma | Brantford +13 other locations
1027,Kalpataru Group,4.0,756,4k,Real Estate | Mumbai +68 other locations
1028,DLF,4.0,757,3.8k,Real Estate | Gurgaon/Gurugram +30 other locations
1029,Globant,3.9,757,7.8k,Software Product | San Francisco +13 other locations
1030,Feedback Infrastructure Services,3.5,755,2.9k,Engineering & Construction | Gurgaon/Gurugram +121 other locations
1031,Schaeffler India,4.2,754,4.5k,Auto Components | Mumbai +18 other locations
1032,Aparna Constructions and Estates,4.1,753,3.3k,Real Estate | Hyderabad/Secunderabad +19 other locations
1033,Otis Elevator,4.0,753,3.8k,Industrial Machinery | Farmington +63 other locations
1034,Edubridge Learning,4.1,750,1.3k,EdTech | Mumbai +63 other locations
1035,Cult.fit,3.7,750,4k,Fitness & Wellness | Bangalore +36 other locations
1036,Skill Lync,3.1,750,3.6k,EdTech | Palo Alto +14 other locations
1037,Egis  India Consulting Engineers,4.1,749,2.6k,Engineering & Construction | Gurgaon/Gurugram +101 other locations
1038,Aarvi Encon,4.0,750,2.7k,Recruitment | Mumbai +106 other locations
1039,Lowe's,4.2,748,8k,Retail | Mooresville +6 other locations
1040,Kohler,3.8,745,4.3k,Building Material | Kohler +43 other locations
1041,Bounteous x Accolite,3.5,747,6.6k,IT Services & Consulting | Dallas +13 other locations
1042,Mastek,3.6,745,6.3k,IT Services & Consulting | Mumbai +20 other locations
1043,CNH Industrial,4.0,743,3.7k,Automobile | London +59 other locations
1044,Better.com,3.0,741,4.1k,Financial Services | New York City +6 other locations
1045,Bosch Chassis Systems,4.1,741,2.8k,Auto Components | Gerlingen +21 other locations
1046,C&S Electric,4.0,741,3.6k,Electrical Equipment | Delhi/NCR +50 other locations
1047,Nirma,4.3,740,3.1k,FMCG | Ahmedabad +58 other locations
1048,Biocon Biologics,3.6,740,5.8k,Biotechnology | Bangalore/Bengaluru +22 other locations
1049,Capacit'e Infraprojects,3.6,738,3.2k,Engineering & Construction | Mumbai +31 other locations
1050,Gharda Chemicals Limited,4.0,738,4.1k,Agro Chemicals | Mumbai +62 other locations
1051,Westside,4.1,738,1.9k,Fashion & Textile | Mumbai +101 other locations
1052,Intex Technologies,3.7,737,1.7k,Consumer Electronics & Appliances | Delhi/NCR +72 other locations
1053,Rungta Mines,4.1,737,3.7k,Metals & Mining | Singhbum +27 other locations
1054,Asirvad Microfinance,3.9,736,2k,NBFC | Chennai +223 other locations
1055,Vertiv,4.0,735,3.5k,IT Services & Consulting | Columbus +47 other locations
1056,Netcracker Technology,3.0,735,8.5k,IT Services & Consulting | Waltham +10 other locations
1057,Lakshmi Machine Works,4.0,735,3.9k,Industrial Machinery | Coimbatore +25 other locations
1058,Knorr-Bremse,4.0,735,4k,Auto Components | Munich +27 other locations
1059,LEAD School,3.3,735,2.9k,EdTech | Mumbai +90 other locations
1060,Everest Industries,4.1,734,3k,Building Material | Noida +75 other locations
1061,Fractal Analytics,4.0,735,7.1k,Emerging Technologies | New York City +13 other locations
1062,Future Focus Infotech,3.6,734,4.6k,IT Services & Consulting | Chennai +53 other locations
1063,Prochant,4.3,733,1.7k,BPO | Prochant +7 other locations
1064,Tata Chemicals,4.1,733,2.8k,Chemicals | Mumbai +80 other locations
1065,Rupeek,3.7,733,3.3k,FinTech | Bangalore +56 other locations
1066,SLK Global Services,3.8,732,3.3k,BPO | Dallas +8 other locations
1067,NetAmbit,3.5,736,2.9k,BPO | Noida +92 other locations
1068,Shriram General Insurance,3.6,732,2.9k,Insurance | Jaipur +169 other locations
1069,ExcelR Solutions,3.4,731,759,Education & Training | Houston +16 other locations
1070,Rebel Foods,3.7,732,3.2k,Internet | Mumbai +67 other locations
1071,Netscribes,2.8,731,3.1k,Analytics & KPO | New York +11 other locations
1072,GVPR Engineers,3.8,731,2.8k,Engineering & Construction | Hyderabad/Secunderabad +67 other locations
1073,Marks & Spencer,4.1,730,2.8k,Retail | London +57 other locations
1074,Quantiphi Analytics Solutions Private Limited,3.1,731,6.1k,IT Services & Consulting | Marlborough +13 other locations
1075,Godrej Agrovet,4.1,729,3k,Agriculture | Raigad +113 other locations
1076,Star Cement,4.0,728,3k,Building Material | Kolkata +65 other locations
1077,Wheels,4.1,728,4.8k,Auto Components | Chennai +36 other locations
1078,Dunzo,3.4,728,3.4k,Internet | Bangalore +18 other locations
1079,Pramerica Life Insurance,3.8,727,2.4k,Insurance | Gurgaon +120 other locations
1080,Suzuki Motorcycle,4.1,727,3.7k,Automobile | Hamamatsu-shi +104 other locations
1081,Zetwerk Manufacturing Businesses,4.1,724,3.2k,Industrial Machinery | Bangalore +88 other locations
1082,Bank of India,3.9,723,2.7k,Banking | Mumbai +162 other locations
1083,Incheon Motors,4.7,723,213,Automobile | Kochi +13 other locations
1084,Reliance Power,4.2,721,3.3k,Power | Navi Mumbai +33 other locations
1085,Thomas Cook,3.8,720,4k,Travel & Tourism | Mumbai +76 other locations
1086,Napino Auto & Electronics,4.0,719,3.6k,Auto Components | Gurgaon/Gurugram +16 other locations
1087,TNQ Tech Private Limited,3.6,718,3.7k,Printing & Publishing | Chennai +9 other locations
1088,Aparajitha Corporate Services,4.1,719,2.7k,Legal | Madurai +77 other locations
1089,Lumina Datamatics,3.3,718,4.3k,IT Services & Consulting | Mumbai +17 other locations
1090,Page Industries,4.2,717,3.3k,Fashion & Textile | Bangalore/Bengaluru +77 other locations
1091,Vedanta Resources,3.8,714,5.1k,Metals & Mining | London +61 other locations
1092,Atlas Copco,4.2,715,4.3k,Industrial Machinery | Nacka Municipality +50 other locations
1093,Vertex Customer Solutions,3.5,714,1.5k,IT Services & Consulting | Panchkula +31 other locations
1094,MG Motor,4.0,715,4.2k,Automobile | To be Validated +73 other locations
1095,Timken,3.9,712,3.9k,Industrial Machinery | Bangalore/Bengaluru +35 other locations
1096,Xebia,3.4,712,4.7k,IT Services & Consulting | Atlanta +18 other locations
1097,Prism Johnson,3.9,712,3.9k,Building Material | Mumbai +121 other locations
1098,HT Media,3.3,711,4.8k,Media & Entertainment | Delhi/NCR +39 other locations
1099,Varroc Polymers,3.7,708,3.1k,Auto Components | Aurangabad +32 other locations
1100,Aviva Life Insurance India,3.6,709,2.7k,Insurance | London +108 other locations
1101,Quest Retail Private Limited,4.5,707,879,Retail | Gurgaon/Gurugram +71 other locations
1102,Sandhar Technologies,3.9,707,3.4k,Auto Components | Gurgaon/Gurugram +28 other locations
1103,Porter,4.1,706,2.7k,Internet | Bangalore +24 other locations
1104,Orion Edutech,3.2,705,1.9k,EdTech | Kolkata +108 other locations
1105,NBC Bearings,3.9,705,3.1k,Auto Components | Jaipur +24 other locations
1106,Defence Research & Development Organisation,4.5,704,3.5k,Defence & Aerospace | Delhi/NCR +44 other locations
1107,InternEzy,4.9,703,4,EdTech | Bangalore Rural +5 other locations
1108,Collins Aerospace,4.0,703,6.5k,Defence & Aerospace | Charlotte +7 other locations
1109,Greenko Group,3.9,702,3.2k,Power | Hyderabad +61 other locations
1110,Centum Electronics,3.9,702,3.6k,Electronics Manufacturing | Bangalore/Bengaluru +15 other locations
1111,Qinecsa Solutions,2.9,702,2.8k,Clinical Research | New Delhi +12 other locations
1112,Michelin,4.0,701,4.5k,Auto Components | Clermont-Ferrand +42 other locations
1113,General Mills,4.1,701,4.5k,Food Processing | Minneapolis +44 other locations
1114,ffreedom app,3.6,700,1.4k,Internet | Bengaluru/Bangalore +22 other locations
1115,Alok Industries,3.8,699,3k,Fashion & Textile | Mumbai +28 other locations
1116,C.R.I. Pumps,3.8,696,2.9k,Industrial Machinery | Coimbatore +60 other locations
1117,Bayer,4.1,695,4k,Pharma | Monheim Am Rhein +103 other locations
1118,HomeLane,3.5,695,3.9k,Architecture & Interior Design | Bangalore +34 other locations
1119,Medha Servo Drives,4.2,695,2.7k,Electrical Equipment | Hyderabad/Secunderabad +47 other locations
1120,Godfrey Phillips India,4.1,695,3k,FMCG | Delhi/NCR +92 other locations
1121,Natco Pharma,4.0,694,3.4k,Pharma | Hyderabad/Secunderabad +51 other locations
1122,KEI Industries,4.2,694,3.1k,Electrical Equipment | Delhi/NCR +79 other locations
1123,Neel Metal Products,4.0,693,2.9k,Metals & Mining | Narasapuram +32 other locations
1124,Signify,3.5,693,4k,Consumer Electronics & Appliances | Eindhoven +68 other locations
1125,Yashoda Hospitals,3.8,693,3.3k,Healthcare | Ghaziabad +23 other locations
1126,United Breweries,3.8,692,3.2k,Beverage | Khordha +93 other locations
1127,Sykes Business Services Of India,3.4,688,2.8k,BPO | Tampa +18 other locations
1128,KMV Projects Limited,4.4,688,2.1k,Engineering & Construction | Hyderabad/Secunderabad +58 other locations
1129,Deccan Fine Chemicals,3.7,689,4.1k,Agro Chemicals | Hyderabad/Secunderabad +21 other locations
1130,Nlb Services,4.1,687,3.2k,IT Services & Consulting | Alpharetta +20 other locations
1131,Parekh Integrated Services,4.1,687,2.6k,Logistics | Mumbai +69 other locations
1132,Svatantra Microfin,4.1,687,1.8k,NBFC | Mumbai +245 other locations
1133,CADD Centre Training Services,4.1,686,2.4k,Education & Training | Chennai +127 other locations
1134,Bechtel,4.0,686,3.1k,Engineering & Construction | Reston +25 other locations
1135,Toppr,3.4,685,4.3k,EdTech | Mumbai +43 other locations
1136,Velocis Systems,3.9,685,4.9k,IT Services & Consulting | Noida +48 other locations
1137,AuthBridge Research Services,3.7,685,3.2k,IT Services & Consulting | Gurgaon +18 other locations
1138,Amazon Web Services,3.9,685,5.5k,Software Product | Seattle +44 other locations
1139,Fluor Corporation,4.3,684,1.9k,Hyderabad / Secunderabad +24 other locations
1140,Nityo Infotech,3.2,685,5k,IT Services & Consulting | plainsboro New Jersey +28 other locations
1141,Financial Software & Systems,3.8,684,5.2k,Software Product | Chennai +27 other locations
1142,DP World,3.9,685,3.4k,Logistics | Dubai +64 other locations
1143,J B Chemicals And Pharmaceuticals,3.9,683,2.8k,Pharma | Mumbai +76 other locations
1144,ICCS,3.1,683,2.7k,BPO | Delhi/NCR +26 other locations
1145,Aristo Pharmaceuticals,4.1,682,2.2k,Pharma | Mumbai +93 other locations
1146,Naukri,4.0,681,2.8k,Internet | Noida +61 other locations
1147,Duck Creek Technologies,4.5,683,1.2k,Software Product | Boston +6 other locations
1148,Huhtamaki,3.9,681,2.8k,Packaging | Espoo +33 other locations
1149,Schlumberger,4.0,680,5.1k,Oil & Gas | Houston +30 other locations
1150,SFO Technologies,3.4,680,4.2k,Electronics Manufacturing | Kochi/Cochin +14 other locations
1151,Precision Techserve,3.7,680,3k,IT Services & Consulting | Chennai +86 other locations
1152,Athena BPO,3.2,680,2.7k,BPO | Mumbai +29 other locations
1153,Hitachi Payment Services,3.8,679,3.1k,FinTech | Mumbai +56 other locations
1154,Tata Cummins,4.4,678,1.1k,Auto Components | Pune +35 other locations
1155,Updater Services,3.8,677,2.8k,Facility Management Services | Chennai +84 other locations
1156,Merino Industries,3.8,678,3.1k,Furniture & Furnishing | Delhi/NCR +64 other locations
1157,ivy,3.8,676,6.4k,Software Product | Hyderabad/Secunderabad +7 other locations
1158,ICON Plc,4.3,676,3.3k,Clinical Research | Dublin +17 other locations
1159,HSBC Bank,4.1,674,4.1k,Banking | Muzaffarpur +33 other locations
1160,Fareportal,3.4,672,4k,Internet | New York +11 other locations
1161,Indusind Marketing & Financial Services,4.0,672,1.8k,Financial Services | Chennai +259 other locations
1162,Panacea Biotec,3.8,672,2.6k,Biotechnology | Delhi/NCR +55 other locations
1163,Greaves Cotton,4.0,674,2.8k,Auto Components | Mumbai +41 other locations
1164,Arohan Financial Services,4.0,672,2.1k,NBFC | Kolkata +174 other locations
1165,Royal Sundaram General Insurance,4.0,672,2.7k,Insurance | Chennai +98 other locations
1166,Shilpa Medicare,3.4,672,3.8k,Pharma | Raichur +29 other locations
1167,Comviva Technology,3.2,671,5.6k,IT Services & Consulting | Gurgaon +18 other locations
1168,NTT,4.0,671,5.4k,IT Services & Consulting | London +40 other locations
1169,_VOIS,3.9,673,4k,IT Services & Consulting | Pune +12 other locations
1170,Citigroup,3.6,670,8.8k,Financial Services | New York City +36 other locations
1171,Jabil Circuit India,4.0,672,3.4k,Electronics Manufacturing | St Petersburg +14 other locations
1172,ACL Digital,3.6,667,6k,IT Services & Consulting | Santa Clara +23 other locations
1173,GE Healthcare,4.1,665,5.5k,Healthcare | Chicago +30 other locations
1174,National Health Mission,3.6,664,2.2k,Healthcare | Guwahati +241 other locations
1175,Medusind Solutions,3.8,663,2.9k,IT Services & Consulting | Mumbai +9 other locations
1176,Sanden Vikas,4.0,663,2.8k,Auto Components | Faridabad +25 other locations
1177,Artech Infosystems,3.6,661,4.1k,Morristown +20 other locations
1178,Salcomp Manufacturing,4.1,662,3.6k,Electronics Manufacturing | Salo +21 other locations
1179,Parag Milk Foods,4.3,658,2.4k,Food Processing | Mumbai +69 other locations
1180,Future Supply Chain Solutions,4.3,657,3k,Logistics | Mumbai +63 other locations
1181,Volvo,4.1,656,4.9k,Automobile | Gothenburg +37 other locations
1182,TÜV NORD,3.8,656,3.6k,Other | Mumbai +61 other locations
1183,Samsung E&A,4.1,655,2.4k,Engineering & Construction | Suwon-Si +49 other locations
1184,Encora,3.8,656,6.1k,IT Services & Consulting | Scottsdale +14 other locations
1185,Knight Frank,4.1,655,2.9k,Real Estate | London +46 other locations
1186,Mswipe Technologies,3.1,655,2.8k,FinTech | Mumbai +84 other locations
1187,Franklin Templeton Investments,4.2,654,4.5k,Financial Services | San Mateo +28 other locations
1188,HP India,4.1,654,5k,Consumer Electronics & Appliances | Bengaluru +54 other locations
1189,NoBrokerHOOD,3.3,654,1.9k,Software Product | Dharwad +28 other locations
1190,OCS Group,4.0,653,2.5k,Facility Management Services | London +48 other locations
1191,THE LEELA PALACES HOTELS & RESORTS,4.0,651,2.3k,Hospitality | Mumbai +27 other locations
1192,Guardian India,4.0,651,4.2k,Insurance | New York  +10 other locations
1193,Embibe,3.6,649,2.8k,EdTech | Bangalore +18 other locations
1194,Tata Starbucks,4.3,650,1.7k,Hospitality | Mumbai +41 other locations
1195,BNP Paribas India Solutions,3.9,648,6.6k,IT Services & Consulting | Paris +9 other locations
1196,Ageas Federal Life Insurance,3.7,646,2.2k,Insurance | Mumbai +112 other locations
1197,Musashi Auto Parts,3.9,647,2.7k,Auto Components | Gurgaon/Gurugram +20 other locations
1198,Freshworks,3.5,646,5.7k,Software Product | San Mateo +38 other locations
1199,MasterCard,4.0,646,8k,FinTech | Purchase +14 other locations
1200,MasterCard,4.0,646,8k,FinTech | Purchase +14 other locations
1201,OLX,3.8,645,3.5k,Internet | Gurgaon +52 other locations
1202,NxtWave,4.0,644,1.6k,Hyderabad / Secunderabad +24 other locations
1203,FIITJEE,3.2,644,2.2k,Delhi +46 other locations
1204,Deepak Fertilisers and Petrochemicals,3.9,644,3.1k,Chemicals | Pune +49 other locations
1205,mPokket,4.1,642,1.1k,NBFC | Kolkata +12 other locations
1206,Silaris Informations,3.2,642,2.7k,BPO | Delhi/NCR +19 other locations
1207,Brane Enterprises,2.2,643,3.2k,Software Product | Hyderabad/Secunderabad +9 other locations
1208,Re Sustainability Limited,4.0,642,2.7k,Waste Management | Hyderabad +70 other locations
1209,Mahindra Tractors,4.2,641,2.2k,Automobile | Mumbai +109 other locations
1210,H&M,3.9,639,2.5k,Fashion & Textile | Stockholm +48 other locations
1211,Simplilearn,3.2,639,4.6k,EdTech | San Francisco +9 other locations
1212,JSW Group,4.0,641,3.9k,Iron & Steel | Mumbai +80 other locations
1213,Times Internet,3.6,639,5.7k,Internet | Gurgaon +24 other locations
1214,Wonder Cement,4.2,638,3.2k,Building Material | Ajmer +85 other locations
1215,Amphenol Interconnect,4.2,639,3.2k,Electrical Equipment | Pune +12 other locations
1216,Border Security Force,4.5,637,1.3k,Law Enforcement & Security | Delhi/NCR +93 other locations
1217,Tata Capital Housing Finance,4.1,636,2.6k,NBFC | Mumbai +130 other locations
1218,ALLEN Career Institute,3.9,637,3.3k,Education & Training | Kota +57 other locations
1219,Bitwise Solutions,4.1,636,4.4k,IT Services & Consulting | Schaumburg +6 other locations
1220,Balkrishna Industries,4.0,637,3.1k,Auto Components | Mumbai +23 other locations
1221,Crompton Greaves Consumer Electricals,3.8,637,3.3k,Consumer Electronics & Appliances | Mumbai +86 other locations
1222,Union Bank of India,4.0,634,2.7k,Banking | Mumbai +131 other locations
1223,Tata Hitachi Construction Machinery,4.0,634,2.9k,Industrial Machinery | Bangalore/Bengaluru +71 other locations
1224,Bpo Convergence,3.5,634,2k,BPO | Bhubaneswar +34 other locations
1225,KGISL,2.9,634,5.2k,IT Services & Consulting | Coimbatore +15 other locations
1226,IMPACT Infotech,3.5,631,2.5k,Recruitment | Pune +60 other locations
1227,Astral Adhesives,4.0,631,2.2k,Chemicals | Ahmedabad +117 other locations
1228,Tafe Motors & Tractors,3.9,630,2.6k,Automobile | New Delhi +51 other locations
1229,Bill Gosling Outsourcing India,3.6,630,2.7k,BPO | Gurgaon/Gurugram +10 other locations
1230,QX Global Group,3.4,630,3.3k,BPO | Skipton +16 other locations
1231,Marsh McLennan,4.1,630,6.2k,Financial Services | New York +20 other locations
1232,Adani Enterprises,3.8,629,3.8k,Ahmedabad +62 other locations
1233,Ashirvad Pipes,4.1,628,2.8k,Building Material | Bangalore/Bengaluru +88 other locations
1234,GirnarSoft,3.5,627,3.9k,IT Services & Consulting | Jaipur +44 other locations
1235,uFaber,2.6,627,1.4k,Education & Training | Mumbai +18 other locations
1236,Xceedance,3.7,627,5.1k,IT Services & Consulting | Boston +8 other locations
1237,Eris Lifesciences,3.8,627,2.3k,Pharma | Ahmedabad +81 other locations
1238,Snapdeal,3.9,627,3.1k,Internet | Delhi +30 other locations
1239,Kaizen IT Services,4.5,626,1.1k,IT Services & Consulting | Kolkata +78 other locations
1240,Shyam Steel Industries,3.6,626,3.1k,Iron & Steel | Kolkata +54 other locations
1241,Malabar Gold and Diamonds,4.2,626,2.1k,Kozhikode +94 other locations
1242,ALTEN,3.7,626,4.7k,IT Services & Consulting | Bengaluru/Bangalore +21 other locations
1243,Cogoport,2.8,625,1.9k,Internet | Mumbai +12 other locations
1244,Forever Living Products,4.3,625,1.5k,Fitness & Wellness | Scottsdale +71 other locations
1245,DuPont,4.2,624,3.3k,Waste Management | Wilmington +47 other locations
1246,Innodata India Private Limited,3.6,625,2k,IT Services & Consulting | New Jersey +11 other locations
1247,Videocon d2h,3.8,623,1.5k,Internet | Mumbai +112 other locations
1248,KaaShiv InfoTech Company,4.9,622,238,EdTech | Chennai +4 other locations
1249,Target,4.2,622,5k,Retail | Minneapolis +15 other locations
1250,eTeam,3.2,621,3.3k,Recruitment | South Plainfield +17 other locations
1251,Veradigm,4.1,620,3.8k,Vadodara +6 other locations
1252,CSM Technologies,4.4,620,1.9k,IT Services & Consulting | Bhubaneswar +19 other locations
1253,Yokohama Off-Highway Tires,3.7,620,3.5k,Auto Components | Mumbai +27 other locations
1254,Rallis India,4.3,619,2.5k,Agro Chemicals | Mumbai +97 other locations
1255,Karvy Stock Broking,3.7,619,2.4k,Hyderabad/Secunderabad +104 other locations
1256,Integra Software Services,3.9,619,2.8k,IT Services & Consulting | Pondicherry +13 other locations
1257,Galfar,4.2,619,1.9k,Engineering & Construction | Muscat +35 other locations
1258,Varthana,4.4,618,1.3k,NBFC | Bangalore +79 other locations
1259,Mahindra Automotives,4.1,618,4.1k,Automobile | Hyderabad +104 other locations
1260,Mahindra Automotives,4.1,618,4.1k,Automobile | Hyderabad +104 other locations
1261,Progressive Infotech,3.5,616,2.9k,IT Services & Consulting | Noida +58 other locations
1262,Navayuga Engineering Company,4.0,617,2.2k,Engineering & Construction | Hyderabad/Secunderabad +61 other locations
1263,Quess IT Staffing Solutions,3.3,615,2k,Thane +54 other locations
1264,Lumen Technologies,4.0,615,4.6k,Hardware & Networking | Monroe +13 other locations
1265,EaseMyTrip.com,4.5,615,1.3k,Internet | Delhi +7 other locations
1266,First Advantage,3.9,614,5.9k,Recruitment | Atlanta +12 other locations
1267,Carborundum Universal Limited,4.0,614,3.1k,Metals & Mining | Chennai +75 other locations
1268,Vaco Binary Semantics,3.4,614,4.1k,IT Services & Consulting | Gurgaon/Gurugram +33 other locations
1269,Metso Outotec,4.3,615,2.5k,Metals & Mining | Espoo +38 other locations
1270,Wonder Home Finance,4.7,613,581,Financial Services | jaipur +89 other locations
1271,ESL Steel,4.1,613,2.4k,Iron & Steel | Jharkhand +20 other locations
1272,RAMTeCH Software Solutions,3.8,612,3k,IT Services & Consulting | Noida +29 other locations
1273,Investors Clinic,3.7,612,1.7k,Real Estate | Noida +25 other locations
1274,Steag Energy Services,4.2,612,2.8k,Power | Essen +42 other locations
1275,Epsilon,4.0,611,6.7k,Texas +14 other locations
1276,Electronica Finance,4.1,613,2.2k,NBFC | Pune +114 other locations
1277,Rico Auto Industries,3.8,612,3.3k,Auto Components | Gurgaon/Gurugram +25 other locations
1278,Skipper,3.8,612,2.7k,Industrial Machinery | Kolkata +72 other locations
1279,Acme Cleantech Solutions,3.9,611,2.5k,Industrial Machinery | Gurgaon/Gurugram +87 other locations
1280,Primus Global Technologies,4.0,610,2.8k,IT Services & Consulting | Irving +27 other locations
1281,Swaraj Tractors,4.2,610,3.1k,Automobile | Mumbai +81 other locations
1282,Eveready Industries,4.0,609,2.3k,Consumer Electronics & Appliances | Kolkata +80 other locations
1283,Kurlon,4.3,608,2.4k,Furniture & Furnishing | Bangalore/Bengaluru +84 other locations
1284,Ramco Systems,3.5,629,5.3k,Software Product | Chennai +25 other locations
1285,Engineers India,4.4,607,3.4k,Delhi/NCR +62 other locations
1286,Amul Dairy,4.1,--,--,Food Processing | Anand +127 other locations
1287,Sandvik Asia,4.3,606,1.9k,Industrial Machinery | Stockholm +35 other locations
1288,Jaya Hind Industries,3.7,606,2.5k,Auto Components | Pune +24 other locations
1289,Hitachi Energy,4.1,606,4.9k,Power | Zurich +29 other locations
1290,CRB Tech Solution,4.1,605,555,EdTech | Pune +9 other locations
1291,Assystem,3.8,605,1.8k,Power | Paris +62 other locations
1292,World Network Services,3.4,606,5.5k,BPO | Mumbai +19 other locations
1293,Jaro Education,2.5,603,2.2k,EdTech | Mumbai +23 other locations
1294,Denave,3.7,604,2.7k,Marketing & Advertising | Noida +62 other locations
1295,L&T Power,3.9,603,3.8k,Power | Mumbai +91 other locations
1296,MagicBricks,3.1,602,4.2k,Internet | Noida +29 other locations
1297,Siemens Energy,4.2,603,4.1k,Power | Munich +39 other locations
1298,Greenlam Industries,4.2,603,2.5k,Furniture & Furnishing | Delhi/NCR +91 other locations
1299,TCNS Clothing Company,4.0,601,1.7k,Fashion & Textile | Delhi/NCR +99 other locations
1300,Radical Minds,2.9,601,2.6k,BPO | Gurgaon/Gurugram +9 other locations
1301,Zydus Healthcare,4.0,601,2.2k,Pharma | Mumbai +79 other locations
1302,LifeCell International,3.4,600,2.6k,Biotechnology | Chennai +69 other locations
1303,Maveric Systems,3.6,600,7k,IT Services & Consulting | Chennai +9 other locations
1304,MOURI Tech,3.9,600,5.4k,IT Services & Consulting | Dallas +9 other locations
1305,Pratap Technocrats,4.0,599,1.9k,Telecom | Jaipur +108 other locations
1306,Cigniti Technologies,3.8,599,6.7k,IT Services & Consulting | Irving +7 other locations
1307,Baxter International,4.0,599,3.4k,Healthcare | Deerfield +26 other locations
1308,Shaktiman Tirth Agro Technology,4.2,599,2.7k,Industrial Machinery | Rajkot +47 other locations
1309,Hitachi,4.1,598,4.2k,Industrial Machinery | Tokyo +76 other locations
1310,McDermott International,4.3,598,3.7k,Engineering & Construction | Houston +28 other locations
1311,CIEL HR,4.0,598,2.6k,Recruitment | Bangalore +84 other locations
1312,Vijay Sales,4.1,597,2.4k,Consumer Electronics & Appliances | Mumbai +42 other locations
1313,Biba Apparels,3.9,596,2.3k,Fashion & Textile | Gurgaon +90 other locations
1314,Ienergizer BPO Services,4.1,595,1.5k,BPO | Gurgaon / Gurugram +12 other locations
1315,Orient Electric,3.8,595,2.8k,Consumer Electronics & Appliances | Delhi/NCR +59 other locations
1316,PUMA,4.3,595,2.5k,Fashion & Textile | Herzogenaurach +86 other locations
1317,Royal Migration Solutions,4.9,596,7,Durgapur +7 other locations
1318,Ups Logistics,3.8,594,3.5k,Atlanta +33 other locations
1319,HIL,4.1,593,2.3k,Building Material | Hyderabad/Secunderabad +85 other locations
